,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
47,12303838556,259193368,Acer,Acer,NX.SHEAA.006,259193368,887899398186,00887899398186,,3-cell,8.50 Hour,No,Yes,Yes,No,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,ComfyView,Chromebook,NX.SHEAA.006,"Acer, Inc",C720-29552G01aii,C720-29552G01aii Notebook,C720,Acer,2 GB,DDR3L SDRAM,C720-29552G01aii NotebookLithium Polymer BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11a/b/g/n,2.76 lb,Granite Gray,"0.8""","11.3""","8""",No,16 GB,1.40 GHz,Celeron,2955U,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,1 Year,,,,
48,8.88183E+11,265018782,Hewlett Packard,,G6T29UA#ABA,265018782,888182906668,00888182906668,,3-cell,6.25 Hour,,,,No,2,,16:9,1366 x 768,"11.6""",ARM,Mali-T604,,Shared,In-plane Switching (IPS) Technology,Chromebook,G6T29UA#ABA,HP Inc.,11-2010nr,Chromebook 11-2010nr Notebook PC,11-2000,HP,2 GB,DDR3L SDRAM, Chromebook 11-2010nr Notebook PC Lithium Polymer Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n,2.69 lb,Snow White /  Ano Silver,"0.8""","11.8""","8.1""",No,,1.70 GHz,Exynos 5,5250,Dual-core (2 Core),Samsung,Chrome OS,32-bit,Chrome OS,1 Year,Yes,,No,
49,8.8001E+11,296849119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,8.89894E+11,284134415,Hewlett Packard,,P0B78UT#ABA,284134415,889894141910,00889894141910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8.88793E+11,268857763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,8.89895E+11,288779471,HP INC.,,T4M31UT#ABA,288779471,889894582270,00889894582270,,3-cell,8.25 Hour,,Yes,Yes,,3,1,16:9,1366 x 768,"14""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,T4M31UT#ABA,HP Inc.,,Chromebook 14 G4 (ENERGY STAR),14 G4,HP,2 GB,DDR3L SDRAM, Chromebook 14 G4 (ENERGY STAR) Lithium Polymer Battery AC Adapter Power Cord ,Yes,EU WEEE /  RoHS /  EPEAT Gold /  ENERGY STAR /  IT Eco Declaration /  WEEE,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.77 lb,,"0.7""","13.5""","9.4""",No,16 GB,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS (English),,Chrome OS,1 Year,Yes,,,
55,8.89894E+11,287018263,Hewlett Packard,,P3U34UA#ABA,287018263,889894330628,00889894330628,,3-cell,,,Yes,,,,,16:9,1366 x 768,"13.3""",Intel,HD Graphics,,Shared,,Notebook,P3U34UA#ABA,Hewlett-Packard,13-c120nr,Stream 13-c120nr Notebook,13-c100,HP,2 GB,, Stream 13-c120nr Notebook Standard Battery AC Adapter ,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11b/g/n,3.50 lb,Purple Violet,"1.2""",,,,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10,,Windows,,,,No,
57,8.88793E+11,281269267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.89349E+11,294678984,Asus,,E200HA-US01-BL,294678984,889349317082,00889349317082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,8.87899E+11,265055112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,8.88794E+11,270188595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8.89349E+11,281153230,ASUS - CHROMEBOOK,ASUS - CHROMEBOOK,90NL0912-M00290,281153230,889349057858,00889349057858,,2-cell,13 Hour,,,,,2,,16:9,1366 x 768,"11.6""",ARM,Mali-T764,,,,Chromebook,90NL0912-M00290,ASUS Computer International,C201PA-DS02,Chromebook C201PA-DS02 Chromebook,C201,Asus,4 GB,LPDDR3, Chromebook C201PA-DS02 Chromebook AC Adapter User E-Manual Warranty Card ,Yes,RoHS,Yes,Yes,IEEE 802.11ac,2 lb,Navy Blue,"0.7""","11.3""","7.6""",No,16 GB,1.80 GHz,Cortex A17,RK3288,Quad-core (4 Core),Rockchip,Chrome OS,,Chrome OS,1 Year,Yes,Yes,No,
67,8.89234E+11,277080973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,8.89894E+11,287767369,HP INC.,,N5x86UA#ABA,287767369,889894347619,00889894347619,,,,,,,,,,,,"11.6""",,,,,,Notebook,N5X86UA#ABA,HP Inc.,11-r010nr,Stream 11-r010nr Notebook,11-r000,HP,2 GB,, Stream 11-r010nr Notebook Standard Battery AC Adapter ,Yes,EPEAT Silver,Yes,Yes,,,,,,,,32 GB,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10,,Windows,,,,,
